split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,13,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,344,386,20,25,57.56395348837209,74.28081538919535,51.91759600548876,45.83584093329012,2.354651162790698
validation,13,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,346,398,25,33,59.6849710982659,77.31197590604647,48.1659801456869,40.90197864881459,3.054913294797688
validation,13,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,350,386,20,31,39.70285714285714,52.811632917649604,33.8771639650998,31.00816709064132,2.8457142857142856
validation,13,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,347,398,25,41,42.93948126801153,55.08855851752617,31.852640732252187,28.278610742076292,-2.2420749279538903
validation,14,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,338,382,44,0,34.94398901138886,43.85040860278465,38.00013456158567,34.1795007693293,26.436608100301868
validation,14,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,347,392,45,0,36.49129439816496,49.08336170743699,34.79822616217862,30.267668593673335,18.35586250806281
validation,14,naive,1,freeze_20260610_192142,baselines_full_20260718,316,382,44,46,38.54430379746835,52.82320644603569,41.31559920898498,37.37572112434025,3.7468354430379747
validation,14,naive,3,freeze_20260610_192142,baselines_full_20260718,323,392,45,48,49.22600619195047,69.80135458690742,44.10824564495787,39.033731035498604,0.848297213622291
validation,14,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,303,382,44,49,42.93399339933993,59.28003131081512,50.18995563882588,42.6496623172251,4.438943894389439
validation,14,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,313,392,45,46,53.61341853035144,73.76443379631363,54.72580641624427,44.46829371704163,1.1916932907348243
validation,14,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,317,382,44,35,58.063091482649845,75.2846124427991,64.47681486796662,56.996872387204654,1.6529968454258674
validation,14,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,321,392,45,40,58.54205607476636,75.66160933872513,58.942280465262556,49.238831390017026,0.3987538940809969
validation,15,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,349,384,35,0,25.796798437609635,33.721877826795335,22.720298958947104,20.659696761498374,8.526341054773303
validation,15,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,349,395,46,0,29.366377747464185,38.69920917045307,23.208674535429,20.500191690732887,4.515349104523879
validation,15,naive,1,freeze_20260610_192142,baselines_full_20260718,323,384,35,42,42.95046439628483,55.998534921127124,34.62918960326593,33.54612501511304,4.325077399380805
validation,15,naive,3,freeze_20260610_192142,baselines_full_20260718,327,395,46,51,47.22018348623853,63.390276992022855,35.07596036307114,31.94116916966613,2.529051987767584
validation,15,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,312,384,35,40,58.48397435897436,73.08563207214272,54.49070096336257,47.86475001311579,5.086538461538462
