route,dia_op,tipo_dia,n,relleno_objetivo_ajuste_pct,relleno_objetivo_stop_pct,mae_original,mae_enmascarada,delta_mae,sesgo_original,sesgo_enmascarada,epoca_mejor_original,epoca_mejor_enmascarada,epocas_original,epocas_enmascarada,segundos_original,segundos_enmascarada,mae_stop_observado_original,mae_stop_relleno_original,aporte_relleno_loss_original
1,2026-05-10,DOMINGO,10,13.307947,10.714287,23.405403900146485,9.839096832275391,13.566307067871094,22.510800170898438,-7.856830596923828,59,287,89,317,0.6068905999418348,1.8540095000062138,0.5997326970100403,0.648067831993103,0.11478677933866882
1,2026-05-11,LABORAL,26,13.493204,16.233767,36.593738262469955,31.04330825805664,5.550430004413315,27.562364431527946,18.76745576124925,389,313,419,343,2.512187200016342,2.0571655000094324,0.5410217642784119,0.1763763725757599,0.05942502916498984
1,2026-05-12,LABORAL,26,13.493204,16.233767,24.48259426997258,23.938096853402946,0.5444974165696337,0.7315534444955679,-6.198358389047476,261,307,291,337,1.2190401999978349,1.7904597000451759,0.5543925166130066,0.22842873632907867,0.07394683607867901
1,2026-05-13,LABORAL,26,13.503498,16.233767,33.20531683701735,33.232445790217476,-0.027128953200126205,-0.22026663560133714,-1.0666317572960486,267,288,297,318,1.6596174999140203,1.8689564999658614,0.5616233348846436,0.23581358790397644,0.07524869256913391
1,2026-05-14,LABORAL,27,13.513792,15.909094,17.921666463216145,21.439844484682435,-3.5181780214662908,7.162565443250868,11.68614564118562,262,326,292,356,1.7316214999882504,1.9481678999727592,0.5456393361091614,0.208015576004982,0.06727304398031819
1,2026-05-15,LABORAL,26,13.544666,12.662339,28.25714580829327,28.28133905850924,-0.024193250215969186,-6.337970440204327,-10.935463978694035,276,125,306,155,1.824858000036329,0.9423260999610648,0.544157087802887,0.17948222160339355,0.045637592413925246
1,2026-05-16,SABADO,25,13.647593,12.662339,28.398256683349608,31.180560150146484,-2.7823034667968756,-0.042605438232421876,3.756314544677734,271,133,301,163,1.7042158000404015,0.9213498999597505,0.5322722792625427,0.1726219207048416,0.04490759721563878
1,2026-05-17,DOMINGO,8,13.575548,12.5,11.123623847961426,11.022296905517578,0.10132694244384766,1.3336496353149414,0.7270412445068359,287,173,317,203,1.7711325999116525,1.1810115000698715,0.5354976654052734,0.16848666965961456,0.043014535860846186
1,2026-05-18,FESTIVO_PUENTE,13,13.614779,17.032969,12.516198378342848,17.082476395827072,-4.566278017484224,7.987716087928185,15.087454282320463,252,257,282,287,1.1789141999324784,1.1506380999926478,0.5255272388458252,0.18282821774482727,0.06666105230589155
1,2026-05-19,LABORAL,26,13.64389,20.329672,30.648477407602165,31.19618166410006,-0.5477042564978944,14.447645920973558,-16.42286095252404,465,59,495,89,2.6431123000802472,0.5146029000170529,0.5053974390029907,0.13290303945541382,0.06288247563180523
1,2026-05-20,LABORAL,26,13.654243,20.054943,35.094965127798226,35.789686056283806,-0.6947209284855802,6.310856452355018,8.702807206373949,394,288,424,318,2.2638142000650987,1.7374185000080615,0.48860299587249756,0.13771745562553406,0.06603772012892861
1,2026-05-23,SABADO,23,13.685298,22.402596,25.756103349768598,33.94195904939071,-8.185855699622113,-2.6454880755880605,5.0143875453783116,334,59,364,89,2.3128827000036836,0.46421589993406087,0.4993225336074829,0.16237808763980865,0.0858273441967306
1,2026-05-24,DOMINGO,12,13.612837,18.181818,6.336157480875651,18.40805498758952,-12.071897506713867,3.623530069986979,16.477997461954754,386,59,416,89,2.3327473000390455,0.49050610000267625,0.5135596394538879,0.155374675989151,0.06299671597673012
1,2026-05-25,LABORAL,27,13.788819,22.727276,30.449866400824654,29.111319930465132,1.3385464703595211,12.305008499710649,8.255646034523293,473,276,503,306,2.6615739999106154,1.6007974999956787,0.47559526562690735,0.1256614625453949,0.07210794600382621
1,2026-05-26,LABORAL,26,13.809526,22.402596,29.999750577486477,31.39601546067458,-1.3962648831881026,1.6684687687800481,-4.750773503230168,436,292,466,322,1.878682899987325,1.6367184000555426,0.4859362244606018,0.13139794766902924,0.07241277580222753
1,2026-05-27,LABORAL,25,13.809526,22.402596,35.54046875,35.450734252929685,0.08973449707031733,5.279114990234375,6.83530029296875,370,286,400,316,2.4051014999859035,1.722426199936308,0.4810691177845001,0.141783207654953,0.07841578955543649
1,2026-05-28,LABORAL,26,13.809526,23.051947,32.0474967956543,33.811292501596306,-1.7637957059420089,6.9070149935208836,5.6547848628117485,462,321,492,351,2.9591078999219462,1.8773389999987558,0.5139113664627075,0.16224347054958344,0.08640569474749732
1,2026-05-29,LABORAL,26,13.809526,23.051947,23.77356133094201,23.065180264986477,0.7083810659555319,0.3317254873422476,6.183012155386118,374,288,404,318,2.150101999985054,1.7810286999447271,0.5245851874351501,0.1512574404478073,0.0795113534328609
1,2026-05-30,SABADO,23,13.809526,22.727276,22.108948417331863,23.861062920611836,-1.752114503279973,2.4593048095703125,7.407223411228346,432,272,462,302,2.5119817999657243,1.688475799979642,0.5212178826332092,0.14948904514312744,0.07779284590860545
1,2026-05-31,DOMINGO,9,13.757765,17.85714,19.316135830349392,20.747391594780815,-1.4312557644314232,-11.63853030734592,-13.745633443196615,424,278,454,308,2.0530973999993876,1.331293600029312,0.5192852020263672,0.1448679119348526,0.05717913834483946
1,2026-06-01,LABORAL,25,13.871634,19.155842,31.971575622558593,35.06394287109375,-3.092367248535158,11.967928161621094,15.865541381835937,161,128,191,158,1.2869693000102416,0.9580777999944985,0.5249974131584167,0.19093726575374603,0.0793388621810802
1,2026-06-02,LABORAL,26,14.016562,19.48052,30.175771126380333,30.32260351914626,-0.1468323927659263,-1.5290047572209284,0.5673873607928936,158,138,188,168,1.0202772000338882,0.9932246999815106,0.5327460765838623,0.20932310819625854,0.08680778131649598
1,2026-06-03,LABORAL,25,14.03727,19.48052,26.155814208984374,26.723718566894533,-0.5679043579101588,11.230409545898437,12.339168395996094,151,114,181,144,1.129152600071393,0.8532024999149144,0.5213199853897095,0.21170228719711304,0.08945830183735891
1,2026-06-04,LABORAL,26,14.047617,18.75,25.775653985830452,25.637953684880184,0.13770030095026797,16.742264234102688,14.98226708632249,157,130,187,160,1.0022432999685407,0.9145482000894845,0.5163030624389648,0.22283723950386047,0.09057870058154703
1,2026-06-05,LABORAL,26,14.078074,17.85714,28.32672353891226,29.847897602961613,-1.5211740640493545,-15.96235832801232,-18.604699208186222,188,129,218,159,1.3966606999747455,0.9714366999687627,0.5167432427406311,0.20110240578651428,0.07800347725079339
1,2026-06-06,SABADO,21,14.087879,17.032969,24.032843090239027,23.735430581229075,0.297412509009952,-5.903939020066034,-3.11577878679548,257,133,287,163,1.6053769000573084,0.9588161000283435,0.5172739624977112,0.1732781082391739,0.06434621326845728
