route,dia_op,tipo_dia,hora,real,pred_grilla
1,2026-04-15,LABORAL,12:30,102.0,137.19867
1,2026-04-15,LABORAL,13:00,116.0,130.503
1,2026-04-15,LABORAL,13:30,162.0,146.18076
1,2026-04-15,LABORAL,14:00,119.0,148.66269
1,2026-04-15,LABORAL,14:30,58.0,149.11938
1,2026-04-15,LABORAL,15:00,138.0,164.3794
1,2026-04-15,LABORAL,15:30,176.0,176.3923
1,2026-04-15,LABORAL,16:00,89.0,146.44427
1,2026-04-15,LABORAL,16:30,75.0,123.270355
1,2026-04-15,LABORAL,17:00,46.0,72.2745
1,2026-04-16,LABORAL,04:30,123.0,111.095566
1,2026-04-16,LABORAL,05:00,49.0,104.006546
1,2026-04-16,LABORAL,05:30,181.0,125.039635
1,2026-04-16,LABORAL,06:00,34.0,124.061646
1,2026-04-16,LABORAL,06:30,162.0,115.803085
1,2026-04-16,LABORAL,07:00,96.0,109.629616
1,2026-04-16,LABORAL,07:30,136.0,109.91721
1,2026-04-16,LABORAL,08:00,142.0,111.45657
1,2026-04-16,LABORAL,08:30,107.0,117.077484
1,2026-04-16,LABORAL,09:00,115.0,121.1303
1,2026-04-16,LABORAL,09:30,70.0,97.828705
1,2026-04-16,LABORAL,10:00,140.0,90.16945
1,2026-04-16,LABORAL,10:30,85.0,76.32435
1,2026-04-16,LABORAL,11:00,40.0,82.37909
1,2026-04-16,LABORAL,11:30,116.0,80.482506
1,2026-04-16,LABORAL,12:00,115.0,91.576996
1,2026-04-16,LABORAL,12:30,115.0,113.0576
1,2026-04-16,LABORAL,13:00,108.0,107.903336
1,2026-04-16,LABORAL,13:30,160.0,116.748055
1,2026-04-16,LABORAL,14:00,117.0,125.17307
1,2026-04-16,LABORAL,14:30,192.0,131.78764
1,2026-04-16,LABORAL,15:00,145.0,137.26175
1,2026-04-16,LABORAL,15:30,60.0,144.18048
1,2026-04-16,LABORAL,16:00,207.0,121.792435
1,2026-04-16,LABORAL,16:30,82.0,106.16741
1,2026-04-17,LABORAL,04:30,136.0,110.20365
1,2026-04-17,LABORAL,05:00,100.0,102.43163
1,2026-04-17,LABORAL,05:30,124.0,122.490944
1,2026-04-17,LABORAL,06:00,166.0,121.67909
1,2026-04-17,LABORAL,06:30,144.0,118.57768
1,2026-04-17,LABORAL,07:30,137.0,116.01709
1,2026-04-17,LABORAL,08:00,172.0,114.755844
1,2026-04-17,LABORAL,08:30,105.0,118.80719
1,2026-04-17,LABORAL,09:00,180.0,119.4764
1,2026-04-17,LABORAL,09:30,69.0,107.38755
1,2026-04-17,LABORAL,10:00,102.0,93.240295
1,2026-04-17,LABORAL,10:30,49.0,90.999374
1,2026-04-17,LABORAL,11:00,148.0,88.526924
1,2026-04-17,LABORAL,11:30,88.0,90.90088
1,2026-04-17,LABORAL,12:00,122.0,98.7749
1,2026-04-17,LABORAL,12:30,110.0,114.96522
1,2026-04-17,LABORAL,13:00,153.0,109.71771
1,2026-04-17,LABORAL,13:30,107.0,115.5436
1,2026-04-17,LABORAL,14:00,104.0,122.60117
1,2026-04-17,LABORAL,14:30,185.0,125.03111
1,2026-04-17,LABORAL,15:00,65.0,133.08643
1,2026-04-17,LABORAL,15:30,163.0,137.20453
1,2026-04-17,LABORAL,16:00,177.0,111.56014
1,2026-04-17,LABORAL,16:30,140.0,102.99984
1,2026-04-17,LABORAL,17:00,72.0,59.46157
1,2026-04-18,SABADO,04:30,63.0,82.063614
1,2026-04-18,SABADO,05:00,54.0,56.595833
1,2026-04-18,SABADO,05:30,103.0,79.15586
1,2026-04-18,SABADO,06:00,77.0,81.97013
1,2026-04-18,SABADO,06:30,86.0,93.55874
1,2026-04-18,SABADO,07:00,90.0,86.04364
1,2026-04-18,SABADO,07:30,83.0,82.24001
1,2026-04-18,SABADO,08:00,103.0,83.52977
1,2026-04-18,SABADO,08:30,91.0,84.97626
1,2026-04-18,SABADO,09:00,95.0,82.50569
1,2026-04-18,SABADO,09:30,96.0,76.63621
1,2026-04-18,SABADO,10:00,90.0,68.16312
1,2026-04-18,SABADO,10:30,84.0,79.851006
1,2026-04-18,SABADO,11:00,95.0,73.93556
1,2026-04-18,SABADO,11:30,50.0,74.540184
1,2026-04-18,SABADO,12:00,97.0,77.81505
1,2026-04-18,SABADO,12:30,58.0,80.987175
1,2026-04-18,SABADO,13:00,72.0,71.61728
1,2026-04-18,SABADO,13:30,76.0,74.38783
1,2026-04-18,SABADO,14:00,39.0,78.95389
1,2026-04-18,SABADO,14:30,40.0,80.54269
1,2026-04-18,SABADO,15:00,61.0,76.310425
1,2026-04-18,SABADO,15:30,44.0,80.049515
1,2026-04-18,SABADO,16:00,39.0,63.706703
1,2026-04-18,SABADO,17:00,47.0,35.730774
1,2026-04-18,SABADO,17:30,23.0,28.91793
1,2026-04-19,DOMINGO,06:30,14.0,26.815086
1,2026-04-19,DOMINGO,07:30,25.0,24.532425
1,2026-04-19,DOMINGO,08:00,57.0,27.58599
1,2026-04-19,DOMINGO,08:30,30.0,38.244537
1,2026-04-19,DOMINGO,09:00,19.0,35.21569
1,2026-04-19,DOMINGO,10:00,26.0,28.712692
1,2026-04-19,DOMINGO,11:00,34.0,30.433968
1,2026-04-19,DOMINGO,12:00,40.0,28.989708
1,2026-04-19,DOMINGO,12:30,15.0,31.931427
1,2026-04-19,DOMINGO,13:00,16.0,26.666672
1,2026-04-19,DOMINGO,14:00,27.0,27.683334
1,2026-04-19,DOMINGO,14:30,60.0,29.958809
1,2026-04-19,DOMINGO,16:00,35.0,29.665909
1,2026-04-20,LABORAL,04:30,86.0,124.78801
1,2026-04-20,LABORAL,05:00,119.0,109.43097
1,2026-04-20,LABORAL,05:30,195.0,135.94589
1,2026-04-20,LABORAL,06:00,185.0,143.01538
1,2026-04-20,LABORAL,06:30,126.0,130.45601
1,2026-04-20,LABORAL,07:00,74.0,131.01561
1,2026-04-20,LABORAL,07:30,137.0,142.95988
1,2026-04-20,LABORAL,08:00,149.0,125.82631
1,2026-04-20,LABORAL,08:30,134.0,138.10085
1,2026-04-20,LABORAL,09:00,128.0,130.12512
1,2026-04-20,LABORAL,09:30,121.0,121.04641
1,2026-04-20,LABORAL,10:00,106.0,102.299286
1,2026-04-20,LABORAL,10:30,72.0,89.893585
1,2026-04-20,LABORAL,11:00,21.0,92.70131
1,2026-04-20,LABORAL,11:30,108.0,97.28259
1,2026-04-20,LABORAL,12:00,120.0,116.55662
1,2026-04-20,LABORAL,12:30,89.0,127.258766
1,2026-04-20,LABORAL,13:00,143.0,130.37059
1,2026-04-20,LABORAL,13:30,97.0,147.08554
1,2026-04-20,LABORAL,14:00,172.0,137.79817
1,2026-04-20,LABORAL,14:30,206.0,128.86807
1,2026-04-20,LABORAL,15:00,59.0,167.95596
1,2026-04-20,LABORAL,15:30,226.0,165.69888
1,2026-04-20,LABORAL,16:00,126.0,156.99509
1,2026-04-20,LABORAL,16:30,80.0,110.39182
1,2026-04-20,LABORAL,17:00,71.0,68.15423
1,2026-04-21,LABORAL,04:30,79.0,113.28342
1,2026-04-21,LABORAL,05:00,165.0,117.538605
1,2026-04-21,LABORAL,05:30,168.0,134.10826
1,2026-04-21,LABORAL,06:00,53.0,135.25856
1,2026-04-21,LABORAL,06:30,183.0,126.95042
1,2026-04-21,LABORAL,07:00,77.0,133.77516
1,2026-04-21,LABORAL,07:30,164.0,126.17941
1,2026-04-21,LABORAL,08:00,191.0,124.47715
1,2026-04-21,LABORAL,08:30,88.0,128.42746
1,2026-04-21,LABORAL,09:00,118.0,128.67229
1,2026-04-21,LABORAL,09:30,144.0,119.93018
1,2026-04-21,LABORAL,10:00,27.0,86.228806
1,2026-04-21,LABORAL,10:30,96.0,105.28704
1,2026-04-21,LABORAL,11:00,177.0,85.39674
1,2026-04-21,LABORAL,11:30,48.0,89.93181
1,2026-04-21,LABORAL,12:00,74.0,97.348404
1,2026-04-21,LABORAL,12:30,130.0,130.93745
1,2026-04-21,LABORAL,13:00,107.0,114.234245
1,2026-04-21,LABORAL,13:30,67.0,133.04616
1,2026-04-21,LABORAL,14:00,222.0,140.84563
1,2026-04-21,LABORAL,14:30,146.0,141.10626
1,2026-04-21,LABORAL,15:00,129.0,158.39792
1,2026-04-21,LABORAL,15:30,169.0,171.69089
1,2026-04-21,LABORAL,16:00,214.0,139.46703
1,2026-04-21,LABORAL,16:30,38.0,111.1328
1,2026-04-21,LABORAL,17:00,44.0,63.23984
1,2026-04-21,LABORAL,17:30,47.0,33.35759
1,2026-04-22,LABORAL,04:30,123.0,107.991684
1,2026-04-22,LABORAL,05:00,112.0,119.98828
1,2026-04-22,LABORAL,05:30,144.0,128.58965
1,2026-04-22,LABORAL,06:00,115.0,125.03288
1,2026-04-22,LABORAL,06:30,123.0,130.16844
1,2026-04-22,LABORAL,07:00,147.0,130.78143
1,2026-04-22,LABORAL,07:30,93.0,122.2589
1,2026-04-22,LABORAL,08:00,169.0,130.98227
1,2026-04-22,LABORAL,08:30,96.0,118.371185
1,2026-04-22,LABORAL,09:00,92.0,130.00941
1,2026-04-22,LABORAL,09:30,161.0,110.273346
1,2026-04-22,LABORAL,10:00,63.0,94.41936
1,2026-04-22,LABORAL,10:30,89.0,90.17402
1,2026-04-22,LABORAL,11:00,69.0,73.17905
1,2026-04-22,LABORAL,11:30,129.0,93.73338
1,2026-04-22,LABORAL,12:00,76.0,91.10145
1,2026-04-22,LABORAL,12:30,122.0,131.80354
1,2026-04-22,LABORAL,13:00,211.0,120.67532
1,2026-04-22,LABORAL,13:30,107.0,129.83899
1,2026-04-22,LABORAL,15:00,51.0,164.17029
1,2026-04-22,LABORAL,15:30,202.0,175.44548
1,2026-04-22,LABORAL,16:00,111.0,133.9681
1,2026-04-22,LABORAL,16:30,127.0,109.06145
1,2026-04-22,LABORAL,17:00,87.0,56.26765
1,2026-04-23,LABORAL,04:30,122.0,103.470726
1,2026-04-23,LABORAL,05:00,118.0,116.62045
1,2026-04-23,LABORAL,05:30,133.0,121.46857
1,2026-04-23,LABORAL,06:00,124.0,117.453285
1,2026-04-23,LABORAL,06:30,82.0,131.34123
1,2026-04-23,LABORAL,07:00,124.0,126.24603
1,2026-04-23,LABORAL,07:30,159.0,120.426346
1,2026-04-23,LABORAL,08:00,124.0,122.691086
1,2026-04-23,LABORAL,08:30,117.0,116.71763
1,2026-04-23,LABORAL,09:00,100.0,125.75769
1,2026-04-23,LABORAL,09:30,55.0,103.90035
1,2026-04-23,LABORAL,10:00,96.0,98.69539
1,2026-04-23,LABORAL,10:30,102.0,82.501274
1,2026-04-23,LABORAL,11:00,81.0,71.576744
1,2026-04-23,LABORAL,11:30,92.0,95.64882
1,2026-04-23,LABORAL,12:00,128.0,97.706
1,2026-04-23,LABORAL,12:30,51.0,126.76291
1,2026-04-23,LABORAL,13:00,108.0,125.38081
1,2026-04-23,LABORAL,13:30,94.0,126.69532
1,2026-04-23,LABORAL,14:00,106.0,131.32448
1,2026-04-23,LABORAL,14:30,40.0,157.51599
1,2026-04-23,LABORAL,15:00,85.0,156.40283
1,2026-04-23,LABORAL,16:30,38.0,105.29784
1,2026-04-24,LABORAL,04:30,133.0,95.150665
1,2026-04-24,LABORAL,05:00,111.0,99.777374
1,2026-04-24,LABORAL,05:30,131.0,98.013626
1,2026-04-24,LABORAL,06:00,86.0,109.53682
1,2026-04-24,LABORAL,06:30,152.0,90.01133
1,2026-04-24,LABORAL,07:00,119.0,90.4047
1,2026-04-24,LABORAL,07:30,136.0,91.273315
