route,dia_op,tipo_dia,hora,real,pred_xgboost,pred_media
3,2026-04-15,LABORAL,11:00,67.0,119.0888,109.59166666666667
3,2026-04-15,LABORAL,11:30,124.0,132.63412,130.49166666666667
3,2026-04-15,LABORAL,12:00,158.0,168.11417,169.1487603305785
3,2026-04-15,LABORAL,12:30,119.0,122.529106,138.64705882352942
3,2026-04-15,LABORAL,13:00,90.0,130.28258,138.89256198347107
3,2026-04-15,LABORAL,13:30,148.0,136.87492,133.65833333333333
3,2026-04-15,LABORAL,14:00,131.0,110.2864,127.19166666666666
3,2026-04-15,LABORAL,14:30,146.0,131.271,143.5546218487395
3,2026-04-15,LABORAL,15:00,103.0,122.790306,139.15
3,2026-04-15,LABORAL,15:30,54.0,129.54657,134.49579831932772
3,2026-04-15,LABORAL,16:00,100.0,97.14427,105.11965811965813
3,2026-04-15,LABORAL,16:30,56.0,80.20013,82.71794871794872
3,2026-04-15,LABORAL,17:00,28.0,45.93698,52.18681318681319
3,2026-04-16,LABORAL,04:00,51.0,54.095783,56.278260869565216
3,2026-04-16,LABORAL,04:30,122.0,136.23236,139.025
3,2026-04-16,LABORAL,05:00,310.0,279.19852,269.72727272727275
3,2026-04-16,LABORAL,05:30,197.0,235.39903,241.0082644628099
3,2026-04-16,LABORAL,06:00,258.0,282.23547,298.10743801652893
3,2026-04-16,LABORAL,06:30,213.0,185.5549,211.40495867768595
3,2026-04-16,LABORAL,07:00,209.0,169.5927,172.0
3,2026-04-16,LABORAL,07:30,136.0,145.54384,150.38333333333333
3,2026-04-16,LABORAL,08:00,78.0,132.94507,140.56410256410257
3,2026-04-16,LABORAL,08:30,115.0,137.7581,138.49166666666667
3,2026-04-16,LABORAL,09:00,138.0,132.12993,136.225
3,2026-04-16,LABORAL,09:30,84.0,126.87857,118.15126050420169
3,2026-04-16,LABORAL,10:00,149.0,124.093254,129.4033613445378
3,2026-04-16,LABORAL,10:30,75.0,110.66009,113.85950413223141
3,2026-04-16,LABORAL,11:00,73.0,119.68773,109.51666666666667
3,2026-04-16,LABORAL,11:30,170.0,122.038635,130.55833333333334
