route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-09,LABORAL,16:30,110.0,107.58516,107.58515930175781,126.78008298755186
1,2026-04-09,LABORAL,17:00,91.0,95.91528,95.915283203125,75.79741379310344
1,2026-04-09,LABORAL,17:30,16.0,84.28242,84.28241729736328,39.335443037974684
1,2026-04-10,LABORAL,04:30,113.0,118.603966,118.60396575927734,127.03305785123968
1,2026-04-10,LABORAL,05:00,124.0,121.58233,121.58232879638672,124.46473029045643
1,2026-04-10,LABORAL,05:30,139.0,124.0706,124.07060241699219,142.98760330578511
1,2026-04-10,LABORAL,06:00,131.0,126.07755,126.07755279541016,145.06198347107437
1,2026-04-10,LABORAL,06:30,93.0,125.88943,125.8894271850586,133.85477178423236
1,2026-04-10,LABORAL,07:00,152.0,122.749146,122.7491455078125,132.6818181818182
1,2026-04-10,LABORAL,07:30,98.0,119.45546,119.45545959472656,137.71074380165288
1,2026-04-10,LABORAL,08:00,187.0,116.402145,116.40214538574219,135.65145228215766
1,2026-04-10,LABORAL,08:30,81.0,113.67253,113.67253112792969,138.21576763485479
1,2026-04-10,LABORAL,09:00,162.0,111.3133,111.31330108642578,136.0124481327801
1,2026-04-10,LABORAL,09:30,144.0,109.36877,109.36876678466797,123.12809917355372
1,2026-04-10,LABORAL,10:00,90.0,108.07653,108.07653045654297,104.23140495867769
1,2026-04-10,LABORAL,10:30,87.0,107.253204,107.25320434570312,97.45867768595042
1,2026-04-10,LABORAL,11:00,99.0,108.30799,108.30799102783203,95.09917355371901
1,2026-04-10,LABORAL,11:30,100.0,110.71737,110.71736907958984,101.67355371900827
1,2026-04-10,LABORAL,12:00,134.0,113.6544,113.65440368652344,112.4504132231405
1,2026-04-10,LABORAL,12:30,88.0,117.207596,117.20759582519531,136.09128630705393
1,2026-04-10,LABORAL,13:00,132.0,120.97891,120.97891235351562,136.88429752066116
1,2026-04-10,LABORAL,13:30,162.0,124.89096,124.89096069335938,146.9214876033058
1,2026-04-10,LABORAL,14:00,172.0,128.74718,128.74717712402344,152.18333333333334
1,2026-04-10,LABORAL,14:30,205.0,132.23233,132.23233032226562,158.34297520661158
1,2026-04-10,LABORAL,15:00,101.0,132.4738,132.4738006591797,179.28925619834712
1,2026-04-10,LABORAL,15:30,211.0,124.9123,124.91230010986328,182.08298755186723
1,2026-04-10,LABORAL,16:00,104.0,116.47057,116.47057342529297,153.02489626556016
1,2026-04-10,LABORAL,16:30,165.0,107.771454,107.77145385742188,126.90041493775934
1,2026-04-10,LABORAL,17:00,56.0,98.96376,98.96376037597656,75.87931034482759
1,2026-04-11,SABADO,04:30,65.0,66.32391,66.32391357421875,84.58823529411765
1,2026-04-11,SABADO,05:00,50.0,77.18566,77.18566131591797,61.13725490196079
1,2026-04-11,SABADO,05:30,87.0,87.51932,87.51931762695312,98.1923076923077
1,2026-04-11,SABADO,06:00,66.0,96.991264,96.99126434326172,97.11538461538461
1,2026-04-11,SABADO,06:30,125.0,103.67893,103.6789321899414,114.4423076923077
1,2026-04-11,SABADO,07:00,104.0,105.41047,105.41046905517578,103.46153846153847
1,2026-04-11,SABADO,07:30,88.0,102.79292,102.79292297363281,108.82692307692308
1,2026-04-11,SABADO,08:00,55.0,100.18768,100.18768310546875,103.32692307692308
1,2026-04-11,SABADO,08:30,59.0,97.73186,97.73185729980469,101.09615384615384
1,2026-04-11,SABADO,09:00,101.0,95.46747,95.46746826171875,98.59615384615384
1,2026-04-11,SABADO,09:30,52.0,93.76586,93.76586151123047,93.98076923076923
1,2026-04-11,SABADO,10:00,123.0,93.1839,93.18389892578125,91.07692307692308
1,2026-04-11,SABADO,10:30,103.0,92.80322,92.80322265625,94.96
1,2026-04-11,SABADO,11:00,63.0,92.65961,92.65960693359375,99.17307692307692
1,2026-04-11,SABADO,11:30,58.0,92.834885,92.83488464355469,83.66666666666667
1,2026-04-11,SABADO,12:00,176.0,93.63165,93.63165283203125,94.52941176470588
1,2026-04-11,SABADO,13:00,57.0,89.725685,89.7256851196289,77.23404255319149
1,2026-04-11,SABADO,13:30,92.0,85.91198,85.91197967529297,81.26530612244898
1,2026-04-11,SABADO,14:00,62.0,81.37128,81.37127685546875,82.34693877551021
1,2026-04-11,SABADO,15:00,69.0,69.37723,69.37722778320312,76.4
1,2026-04-11,SABADO,15:30,82.0,62.44777,62.44776916503906,67.6938775510204
1,2026-04-11,SABADO,16:00,44.0,52.37521,52.37520980834961,58.979166666666664
1,2026-04-11,SABADO,16:30,43.0,41.157806,41.157806396484375,66.76190476190476
1,2026-04-11,SABADO,17:30,30.0,17.485474,17.4854736328125,29.157894736842106
1,2026-04-12,DOMINGO,07:30,30.0,34.423973,34.423973083496094,33.45652173913044
