route,dia_op,tipo_dia,regimen,semanas_entrenamiento,n,demanda_media,filas_ajuste,arboles,mae,sesgo
3,2026-04-12,DOMINGO,ordinario,52,8,28.375,8647,168,5.846606016159058,5.338825941085815
3,2026-04-12,DOMINGO,ordinario,999,8,28.375,17966,114,8.576208591461182,8.576208591461182
3,2026-04-13,LABORAL,ordinario,8,27,131.07407407407408,1018,271,33.01511552598741,12.378030565049913
3,2026-04-13,LABORAL,ordinario,13,27,131.07407407407408,1867,204,35.55774109451859,14.724361137107566
3,2026-04-13,LABORAL,ordinario,26,27,131.07407407407408,4061,101,34.68172511348018,14.629815843370226
3,2026-04-13,LABORAL,ordinario,52,27,131.07407407407408,8639,108,38.70373379742658,22.432805520516855
3,2026-04-13,LABORAL,ordinario,999,27,131.07407407407408,17980,171,44.783255683051216,29.267322681568288
3,2026-04-14,LABORAL,ordinario,8,28,140.07142857142858,1016,152,32.58191776275635,1.15138122013637
3,2026-04-14,LABORAL,ordinario,13,28,140.07142857142858,1880,205,31.666145733424596,1.8658958162580217
3,2026-04-14,LABORAL,ordinario,26,28,140.07142857142858,4071,256,32.39295196533203,7.00268200465611
3,2026-04-14,LABORAL,ordinario,52,28,140.07142857142858,8636,154,32.204611369541716,11.709700175694056
3,2026-04-14,LABORAL,ordinario,999,28,140.07142857142858,18006,126,33.81726033346994,18.192937442234584
3,2026-04-15,LABORAL,ordinario,8,27,134.66666666666666,1016,196,32.36549815425166,3.1409017774793835
3,2026-04-15,LABORAL,ordinario,13,27,134.66666666666666,1879,207,29.045818893997758,5.199708867956091
3,2026-04-15,LABORAL,ordinario,26,27,134.66666666666666,4070,176,29.310310222484446,7.460160008183232
3,2026-04-15,LABORAL,ordinario,52,27,134.66666666666666,8634,234,28.688556671142578,12.877875292742694
3,2026-04-15,LABORAL,ordinario,999,27,134.66666666666666,18032,203,31.001577730532045,19.6341833891692
3,2026-04-16,LABORAL,ordinario,8,27,130.37037037037038,1014,150,27.48719702826606,7.499546474880642
3,2026-04-16,LABORAL,ordinario,13,27,130.37037037037038,1877,144,24.903530968560112,6.714946464256004
3,2026-04-16,LABORAL,ordinario,26,27,130.37037037037038,4067,213,28.624384844744647,9.01161476417824
3,2026-04-16,LABORAL,ordinario,52,27,130.37037037037038,8632,113,29.502992276792174,16.86737611558702
3,2026-04-16,LABORAL,ordinario,999,27,130.37037037037038,18057,278,32.70773244787146,23.871405001039857
3,2026-04-17,LABORAL,ordinario,8,26,145.0,1007,164,31.5839110154372,-9.352040804349459
3,2026-04-17,LABORAL,ordinario,13,26,145.0,1869,230,30.37151864858774,-7.397942469670222
3,2026-04-17,LABORAL,ordinario,26,26,145.0,4059,168,29.729654752291164,-7.102976578932542
3,2026-04-17,LABORAL,ordinario,52,26,145.0,8633,170,28.25966893709623,2.1241559248704176
3,2026-04-17,LABORAL,ordinario,999,26,145.0,18076,144,31.762042705829327,8.518456092247597
3,2026-04-18,SABADO,ordinario,8,25,83.96,992,137,27.913487701416017,11.436791229248048
3,2026-04-18,SABADO,ordinario,13,25,83.96,1853,251,27.33823944091797,12.012735900878907
3,2026-04-18,SABADO,ordinario,26,25,83.96,4045,314,25.95139892578125,11.91665283203125
3,2026-04-18,SABADO,ordinario,52,25,83.96,8626,155,27.407168884277343,15.403876953125
3,2026-04-18,SABADO,ordinario,999,25,83.96,18087,183,30.40853210449219,22.07000549316406
3,2026-04-19,DOMINGO,ordinario,8,11,31.636363636363637,990,233,12.165640744295986,-2.2165905345569956
3,2026-04-19,DOMINGO,ordinario,13,11,31.636363636363637,1851,370,10.655797264792703,-0.5048819455233488
3,2026-04-19,DOMINGO,ordinario,26,11,31.636363636363637,4042,267,9.00135560469194,0.20814444802024148
3,2026-04-19,DOMINGO,ordinario,52,11,31.636363636363637,8622,157,8.982538396661932,0.3003512295809659
3,2026-04-19,DOMINGO,ordinario,999,11,31.636363636363637,18110,296,8.100074074485086,0.6822995272549716
3,2026-04-20,LABORAL,ordinario,8,27,135.85185185185185,987,294,30.349190323441118,2.2981779310438366
3,2026-04-20,LABORAL,ordinario,13,27,135.85185185185185,1846,324,33.098039132577405,4.987055178041811
3,2026-04-20,LABORAL,ordinario,26,27,135.85185185185185,4033,149,31.550141369854963,8.170064431649667
3,2026-04-20,LABORAL,ordinario,52,27,135.85185185185185,8612,110,30.69635221693251,16.07131830851237
3,2026-04-20,LABORAL,ordinario,999,27,135.85185185185185,18121,212,34.93125194973416,22.46781285603841
3,2026-04-21,LABORAL,ordinario,8,27,147.92592592592592,987,219,37.099774537263094,-12.645818498399523
3,2026-04-21,LABORAL,ordinario,13,27,147.92592592592592,1846,190,34.20177495038068,-8.735475540161133
3,2026-04-21,LABORAL,ordinario,26,27,147.92592592592592,4032,258,34.98205439249674,-4.589110056559245
3,2026-04-21,LABORAL,ordinario,52,27,147.92592592592592,8611,262,32.801685403894496,4.305028915405273
3,2026-04-21,LABORAL,ordinario,999,27,147.92592592592592,18148,353,34.859862857394745,9.742254327844691
3,2026-04-22,LABORAL,ordinario,8,27,130.1851851851852,985,177,38.081968519422745,8.961811772099248
3,2026-04-22,LABORAL,ordinario,13,27,130.1851851851852,1845,247,37.26061545477973,5.9705396581579135
3,2026-04-22,LABORAL,ordinario,26,27,130.1851851851852,4031,213,35.99856157656069,6.972165566903573
3,2026-04-22,LABORAL,ordinario,52,27,130.1851851851852,8608,112,40.59418416906286,15.888669190583405
3,2026-04-22,LABORAL,ordinario,999,27,130.1851851851852,18174,207,45.5348989698622,22.269123642532914
3,2026-04-23,LABORAL,ordinario,8,22,130.1818181818182,985,253,30.13796476884322,13.488690809770064
3,2026-04-23,LABORAL,ordinario,13,22,130.1818181818182,1845,199,29.747743953358043,14.309099544178356
3,2026-04-23,LABORAL,ordinario,26,22,130.1818181818182,4031,270,29.862943302501332,14.616833600130947
3,2026-04-23,LABORAL,ordinario,52,22,130.1818181818182,8607,243,29.286286440762606,19.862397974187676
3,2026-04-23,LABORAL,ordinario,999,22,130.1818181818182,18201,191,31.78983532298695,25.75215859846635
3,2026-04-24,LABORAL,ordinario,8,25,131.08,985,280,40.67154022216797,7.840688781738281
3,2026-04-24,LABORAL,ordinario,13,25,131.08,1845,176,37.755199890136716,6.960643005371094
3,2026-04-24,LABORAL,ordinario,26,25,131.08,4032,170,37.48340057373047,8.365892028808593
